Age,AgeGroup,Gender,MaritalStatus,Department,JobRole,JobLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,Education,MonthlyIncome,YearsAtCompany,NumCompaniesWorked,OverTime,DistanceFromHome,TrainingTimesLastYear,Attrition,AttritionBinary
24,Under 25,Female,Single,Research & Development,Research Scientist,2,1,3,3,4,3,8912,6,8,Yes,1,3,Yes,1
36,35–44,Female,Married,Human Resources,Human Resources,3,4,3,3,3,3,7692,10,1,Yes,4,0,No,0
23,Under 25,Male,Single,Research & Development,Research Scientist,2,3,4,2,3,4,9054,0,8,No,12,0,Yes,1
43,35–44,Male,Divorced,Research & Development,Manager,1,2,3,2,3,1,10732,4,9,No,3,5,No,0
37,35–44,Male,Divorced,Sales,Sales Representative,3,1,2,2,3,2,7970,3,9,No,7,6,No,0
23,Under 25,Male,Married,Sales,Sales Executive,1,3,3,2,3,3,7092,4,5,No,4,6,Yes,1
34,25–34,Male,Single,Sales,Sales Representative,4,3,4,4,3,3,2975,0,8,No,1,3,Yes,1
30,25–34,Male,Married,Research & Development,Laboratory Technician,1,3,4,2,3,3,3651,6,3,No,3,0,No,0
39,35–44,Male,Divorced,Research & Development,Healthcare Representative,2,1,4,2,3,3,11246,4,4,No,11,5,Yes,1
49,45+,Male,Married,Research & Development,Laboratory Technician,1,4,3,3,3,2,12245,8,1,No,8,2,No,0
20,Under 25,Male,Single,Sales,Manager,4,2,3,3,3,3,5547,3,2,No,1,3,No,0
38,35–44,Male,Single,Human Resources,Manager,5,2,4,2,4,3,6684,0,0,No,1,6,No,0
35,35–44,Male,Married,Research & Development,Laboratory Technician,1,3,3,3,4,4,2881,6,3,No,9,2,No,0
43,35–44,Male,Single,Sales,Sales Representative,2,3,2,3,3,2,11191,1,1,Yes,15,3,Yes,1
38,35–44,Male,Divorced,Sales,Sales Executive,1,4,1,2,3,4,9161,12,1,No,3,2,No,0
30,25–34,Male,Divorced,Sales,Sales Executive,3,4,1,3,3,3,14264,5,0,No,8,2,No,0
34,25–34,Male,Single,Research & Development,Manager,2,2,4,4,3,1,2986,1,9,No,1,0,No,0
29,25–34,Male,Married,Research & Development,Manager,2,4,1,3,3,4,4987,19,1,No,3,3,No,0
46,45+,Male,Single,Research & Development,Research Scientist,1,4,2,3,4,1,7425,4,3,No,1,4,No,0
37,35–44,Female,Divorced,Sales,Manager,3,4,2,2,3,5,9085,0,5,Yes,13,0,No,0
54,45+,Female,Married,Research & Development,Research Scientist,2,2,3,3,3,4,5637,5,6,No,4,2,No,0
36,35–44,Female,Married,Sales,Sales Representative,3,3,3,3,3,2,3008,1,6,No,15,2,No,0
30,25–34,Male,Married,Sales,Sales Representative,3,2,3,2,3,2,10025,9,6,No,11,6,Yes,1
23,Under 25,Male,Married,Research & Development,Manager,1,4,1,3,3,3,9384,10,3,Yes,15,4,Yes,1
20,Under 25,Female,Married,Research & Development,Research Scientist,2,1,1,3,4,3,2834,23,4,No,3,6,Yes,1
22,Under 25,Male,Married,Research & Development,Research Scientist,3,3,3,3,3,3,11921,4,2,No,1,4,Yes,1
39,35–44,Female,Married,Sales,Manager,2,2,2,3,3,3,11180,3,0,No,29,2,Yes,1
41,35–44,Male,Married,Research & Development,Research Scientist,1,2,2,3,3,3,7037,8,7,No,11,4,No,0
22,Under 25,Male,Single,Research & Development,Healthcare Representative,3,3,1,3,3,2,6818,0,9,No,16,1,Yes,1
45,45+,Female,Single,Sales,Sales Representative,5,4,4,3,3,4,8716,4,6,No,1,6,No,0
32,25–34,Male,Married,Research & Development,Manager,5,3,4,2,3,4,3053,4,8,No,3,6,No,0
38,35–44,Male,Married,Sales,Manager,3,4,1,3,3,3,6620,0,9,No,12,0,No,0
51,45+,Male,Married,Sales,Sales Executive,2,2,1,2,3,4,1000,3,3,Yes,1,3,No,0
45,45+,Male,Divorced,Human Resources,Human Resources,2,3,4,2,3,2,10005,11,4,No,7,6,No,0
34,25–34,Male,Single,Human Resources,Manager,1,3,4,3,3,1,1000,11,4,No,5,4,No,0
28,25–34,Male,Single,Research & Development,Research Scientist,2,1,3,3,3,3,12513,0,6,No,1,4,No,0
18,Under 25,Female,Single,Research & Development,Research Scientist,1,3,4,4,3,3,5179,0,8,No,2,1,Yes,1
30,25–34,Female,Married,Sales,Sales Executive,1,3,4,3,3,3,5653,1,7,Yes,3,3,No,0
35,35–44,Male,Married,Research & Development,Research Scientist,4,3,4,3,3,4,3989,12,6,Yes,1,1,No,0
28,25–34,Female,Married,Research & Development,Healthcare Representative,5,4,3,3,3,5,5347,0,0,No,8,3,No,0
35,35–44,Male,Single,Sales,Sales Executive,4,3,3,3,3,3,12174,7,9,Yes,2,6,No,0
37,35–44,Male,Married,Research & Development,Manager,1,1,1,3,3,4,1000,0,5,No,2,6,Yes,1
34,25–34,Female,Divorced,Sales,Sales Representative,4,1,4,3,3,1,11607,5,9,No,20,0,No,0
31,25–34,Female,Divorced,Research & Development,Laboratory Technician,1,3,3,3,4,2,7852,2,8,No,5,4,No,0
38,35–44,Female,Divorced,Sales,Manager,2,2,2,3,4,4,1671,9,6,Yes,4,0,Yes,1
40,35–44,Male,Married,Research & Development,Manager,3,1,4,4,4,3,2198,1,0,Yes,11,3,Yes,1
27,25–34,Male,Divorced,Research & Development,Healthcare Representative,2,3,4,2,3,3,13205,6,8,No,21,4,Yes,1
49,45+,Female,Single,Research & Development,Laboratory Technician,4,3,4,3,3,2,2717,1,2,No,1,6,No,0
36,35–44,Male,Single,Research & Development,Laboratory Technician,2,2,4,3,3,3,1886,7,8,No,5,1,No,0
37,35–44,Female,Single,Sales,Sales Representative,2,4,4,3,3,2,11049,12,3,No,8,6,No,0
43,35–44,Male,Married,Human Resources,Manager,1,3,2,3,3,3,7854,0,8,No,3,6,No,0
39,35–44,Female,Divorced,Research & Development,Laboratory Technician,4,2,4,4,3,2,2748,12,7,No,13,2,No,0
45,45+,Male,Single,Human Resources,Human Resources,2,4,4,3,3,1,7366,5,6,No,29,1,No,0
39,35–44,Male,Married,Research & Development,Manager,3,3,2,4,3,3,2396,0,3,No,25,2,Yes,1
31,25–34,Male,Married,Research & Development,Research Scientist,3,3,1,3,3,2,10903,3,8,Yes,2,1,No,0
40,35–44,Female,Divorced,Human Resources,Manager,3,3,4,4,3,4,10745,1,3,Yes,2,3,No,0
26,25–34,Female,Married,Sales,Sales Representative,2,1,2,3,3,1,8628,7,0,No,28,0,No,0
37,35–44,Male,Divorced,Sales,Sales Representative,2,4,4,3,3,2,7946,8,5,No,5,2,No,0
36,35–44,Female,Married,Sales,Sales Executive,3,2,1,2,4,3,13544,0,3,Yes,2,3,No,0
35,35–44,Male,Married,Research & Development,Research Scientist,5,4,1,3,3,3,6498,4,9,Yes,11,0,No,0
35,35–44,Male,Married,Research & Development,Laboratory Technician,3,4,3,1,3,1,1772,10,2,No,3,0,No,0
20,Under 25,Male,Married,Sales,Sales Executive,1,3,2,3,4,1,8297,16,4,Yes,2,4,Yes,1
32,25–34,Male,Single,Research & Development,Healthcare Representative,1,2,4,3,3,5,14844,4,2,No,19,6,No,0
37,35–44,Male,Married,Research & Development,Research Scientist,2,2,3,3,3,3,2440,18,8,No,1,4,Yes,1
38,35–44,Male,Married,Sales,Sales Representative,3,2,1,4,3,3,5054,4,5,No,1,6,No,0
27,25–34,Female,Married,Research & Development,Healthcare Representative,2,3,1,4,3,3,8165,3,2,No,2,4,No,0
48,45+,Female,Married,Sales,Sales Executive,3,2,2,2,3,2,6284,11,4,No,8,2,No,0
29,25–34,Female,Married,Research & Development,Manager,4,3,1,3,3,3,2570,4,7,No,1,2,No,0
45,45+,Male,Married,Sales,Manager,2,1,4,3,3,3,10987,3,7,No,5,6,No,0
40,35–44,Female,Single,Human Resources,Human Resources,1,4,3,3,3,4,15780,4,5,No,8,0,No,0
31,25–34,Female,Married,Research & Development,Healthcare Representative,4,1,1,3,3,2,7284,11,4,No,16,2,No,0
52,45+,Male,Single,Sales,Manager,2,4,3,3,3,4,2883,10,4,Yes,2,0,Yes,1
26,25–34,Female,Single,Sales,Sales Representative,2,4,1,3,3,2,1000,3,0,Yes,15,3,No,0
45,45+,Male,Married,Research & Development,Laboratory Technician,2,3,1,3,3,2,7531,2,1,Yes,2,1,No,0
46,45+,Male,Single,Research & Development,Laboratory Technician,2,4,2,3,3,1,10915,4,3,Yes,10,0,No,0
30,25–34,Male,Divorced,Research & Development,Healthcare Representative,3,3,4,2,3,2,8400,5,5,No,5,0,No,0
49,45+,Male,Married,Research & Development,Manager,2,3,4,3,4,4,6490,1,6,No,1,3,No,0
34,25–34,Female,Divorced,Sales,Manager,2,2,4,3,3,3,4142,9,0,No,11,6,Yes,1
39,35–44,Male,Single,Research & Development,Research Scientist,3,2,2,3,3,1,2131,3,7,No,2,4,No,0
39,35–44,Male,Married,Sales,Sales Executive,1,3,2,2,3,5,9839,2,0,No,1,5,No,0
35,35–44,Female,Married,Research & Development,Manager,1,3,3,3,3,4,10155,0,8,No,3,6,No,0
44,35–44,Female,Divorced,Research & Development,Manager,3,3,4,3,3,4,1000,1,3,No,9,4,Yes,1
44,35–44,Female,Married,Research & Development,Manager,4,2,4,2,3,4,12859,17,6,Yes,2,4,Yes,1
21,Under 25,Male,Single,Sales,Manager,1,2,1,3,3,2,8796,2,5,Yes,1,6,No,0
48,45+,Male,Divorced,Research & Development,Research Scientist,1,1,1,3,4,4,12098,1,8,No,1,6,No,0
22,Under 25,Female,Married,Research & Development,Healthcare Representative,3,1,4,2,3,3,1131,3,1,No,5,0,Yes,1
46,45+,Male,Single,Research & Development,Manager,3,2,4,1,3,4,1036,2,6,Yes,5,0,No,0
47,45+,Male,Married,Research & Development,Research Scientist,2,1,4,3,3,4,5904,0,4,Yes,2,2,No,0
27,25–34,Male,Married,Research & Development,Healthcare Representative,1,1,3,1,3,3,8511,2,6,No,1,2,No,0
33,25–34,Male,Single,Research & Development,Manager,1,4,4,4,4,4,13685,4,0,Yes,5,1,No,0
27,25–34,Male,Married,Sales,Manager,3,1,3,3,3,2,9324,4,9,No,13,1,No,0
35,35–44,Male,Single,Research & Development,Manager,2,3,4,3,3,3,5529,2,8,No,11,5,No,0
34,25–34,Male,Married,Research & Development,Healthcare Representative,4,2,4,2,3,1,2394,3,0,No,17,6,No,0
44,35–44,Male,Married,Research & Development,Research Scientist,2,4,4,1,3,4,11420,20,4,No,1,2,No,0
48,45+,Male,Married,Research & Development,Research Scientist,2,3,2,2,3,2,2641,2,7,No,29,6,Yes,1
49,45+,Male,Married,Research & Development,Laboratory Technician,4,2,2,2,3,3,13013,1,0,No,3,0,No,0
31,25–34,Female,Single,Research & Development,Manager,1,3,3,3,3,3,5362,1,6,No,29,3,No,0
35,35–44,Female,Single,Research & Development,Laboratory Technician,2,2,3,2,3,5,12862,3,1,No,2,2,No,0
21,Under 25,Male,Single,Sales,Sales Representative,1,3,4,3,3,3,9215,8,6,Yes,5,0,Yes,1
29,25–34,Male,Married,Sales,Sales Executive,2,1,1,3,3,4,5952,1,6,No,3,6,No,0
45,45+,Male,Married,Sales,Sales Executive,1,4,2,3,3,4,4422,7,8,No,3,2,No,0
51,45+,Male,Divorced,Research & Development,Healthcare Representative,1,3,4,1,3,3,5136,0,5,No,16,4,Yes,1
25,25–34,Male,Single,Research & Development,Laboratory Technician,4,2,1,1,3,3,8213,3,3,No,12,2,No,0
31,25–34,Male,Married,Research & Development,Manager,2,4,2,1,3,4,6808,8,6,No,29,6,No,0
36,35–44,Female,Married,Research & Development,Research Scientist,4,2,2,3,3,4,4124,2,6,Yes,8,6,No,0
39,35–44,Female,Married,Sales,Manager,2,4,3,3,3,4,5837,4,3,No,5,5,No,0
29,25–34,Male,Divorced,Research & Development,Healthcare Representative,2,3,1,3,4,2,6814,1,1,No,1,6,No,0
40,35–44,Male,Single,Research & Development,Manager,1,4,4,3,3,4,1000,8,8,No,29,4,No,0
32,25–34,Female,Single,Sales,Sales Representative,2,1,3,3,3,3,8332,0,7,No,7,0,No,0
36,35–44,Male,Married,Sales,Sales Representative,2,4,4,3,3,3,2581,11,4,Yes,10,4,No,0
41,35–44,Female,Married,Sales,Sales Representative,1,4,3,3,3,4,1886,1,4,No,4,2,No,0
37,35–44,Male,Single,Sales,Sales Representative,3,2,2,2,4,2,1000,12,0,Yes,7,4,No,0
33,25–34,Female,Single,Human Resources,Human Resources,2,1,1,2,4,4,1000,2,8,No,25,5,Yes,1
36,35–44,Female,Single,Research & Development,Research Scientist,2,2,1,3,3,3,1078,7,9,No,1,3,Yes,1
36,35–44,Female,Married,Research & Development,Healthcare Representative,2,4,3,3,3,4,3663,2,7,Yes,3,4,No,0
33,25–34,Male,Single,Research & Development,Laboratory Technician,5,2,1,3,3,2,14313,14,4,No,1,6,No,0
34,25–34,Male,Married,Research & Development,Research Scientist,1,3,3,3,3,3,4396,0,9,Yes,14,5,No,0
51,45+,Male,Married,Sales,Sales Representative,2,1,3,3,3,4,7211,1,5,Yes,1,4,Yes,1
42,35–44,Female,Married,Research & Development,Manager,2,3,2,3,3,1,8101,4,9,No,1,1,No,0
34,25–34,Male,Divorced,Research & Development,Manager,1,3,1,3,3,1,7024,0,9,No,3,3,No,0
43,35–44,Male,Single,Research & Development,Manager,3,4,4,3,4,5,6190,1,7,No,6,0,No,0
33,25–34,Male,Divorced,Research & Development,Healthcare Representative,2,3,4,3,4,2,1718,17,5,No,4,6,No,0
47,45+,Male,Married,Research & Development,Laboratory Technician,1,4,1,3,4,5,12303,22,9,No,1,5,No,0
40,35–44,Male,Divorced,Sales,Manager,1,3,1,3,3,2,13728,2,3,No,28,4,No,0
36,35–44,Male,Married,Sales,Sales Executive,3,1,4,3,3,3,1000,15,2,Yes,27,3,Yes,1
41,35–44,Male,Married,Research & Development,Manager,1,2,1,3,3,4,2403,4,6,Yes,2,0,No,0
22,Under 25,Male,Divorced,Research & Development,Manager,2,3,4,3,3,3,5380,1,1,No,11,3,No,0
26,25–34,Female,Divorced,Research & Development,Manager,1,4,1,3,3,3,2641,7,6,No,7,5,No,0
26,25–34,Female,Single,Sales,Sales Executive,1,4,4,3,3,3,8523,6,0,No,2,1,No,0
38,35–44,Female,Single,Research & Development,Laboratory Technician,1,2,2,2,3,4,3586,27,9,No,2,5,No,0
52,45+,Male,Married,Research & Development,Research Scientist,2,2,4,4,3,2,15160,1,4,No,6,5,No,0
57,45+,Female,Divorced,Sales,Sales Representative,1,2,2,1,3,3,11262,6,8,Yes,4,0,No,0
42,35–44,Male,Married,Sales,Sales Representative,1,4,3,3,3,2,7350,0,0,Yes,3,0,Yes,1
41,35–44,Male,Married,Research & Development,Manager,3,4,1,3,3,3,10607,0,7,No,14,4,No,0
