Age,AgeGroup,Gender,MaritalStatus,Department,JobRole,JobLevel,JobSatisfaction,WorkLifeBalance,MonthlyIncome,YearsAtCompany,OverTime,RemoteWork,StockOptions,Attrition,AttritionBinary
25,25–34,Male,Single,Sales & Marketing,Account Manager,1,2,3,10257,9,No,Hybrid,1,No,0
31,25–34,Female,Single,Product & Design,Product Manager,2,4,2,9043,1,No,On-site,0,No,0
22,Under 25,Female,Married,People & HR,HR Specialist,3,4,4,4548,11,No,Hybrid,0,No,0
25,25–34,Male,Single,Engineering,Software Engineer,3,2,3,10287,1,No,On-site,1,No,0
39,35–44,Male,Married,People & HR,HR Manager,2,4,3,4066,2,No,Hybrid,0,No,0
31,25–34,Male,Married,Sales & Marketing,Sales Executive,3,2,2,13647,0,No,Hybrid,2,No,0
28,25–34,Female,Married,Engineering,Data Scientist,2,2,4,9431,6,No,Hybrid,2,Yes,1
43,35–44,Female,Single,Engineering,Software Engineer,1,1,2,7276,3,No,Hybrid,1,Yes,1
31,25–34,Male,Single,Finance & Legal,Financial Analyst,3,3,2,2000,6,Yes,Hybrid,2,Yes,1
24,Under 25,Female,Divorced,Engineering,Software Engineer,3,3,3,6820,2,Yes,On-site,1,No,0
29,25–34,Female,Married,Sales & Marketing,Marketing Specialist,4,4,3,11456,3,No,Hybrid,3,No,0
33,25–34,Female,Single,Sales & Marketing,Account Manager,3,4,3,5542,2,No,Hybrid,1,No,0
30,25–34,Male,Married,Engineering,Senior Engineer,3,1,2,5998,0,No,Hybrid,1,No,0
32,25–34,Female,Single,Product & Design,Product Manager,2,4,2,13617,0,No,Hybrid,0,No,0
25,25–34,Male,Married,Finance & Legal,Financial Analyst,1,1,1,9448,0,No,Remote,0,Yes,1
37,35–44,Male,Divorced,Product & Design,Product Analyst,1,4,3,8038,10,No,Remote,0,No,0
22,Under 25,Male,Married,Finance & Legal,Finance Manager,1,1,4,2000,0,No,Hybrid,3,No,0
27,25–34,Male,Divorced,Product & Design,UX Designer,4,3,3,12705,3,No,On-site,2,Yes,1
24,Under 25,Male,Single,Engineering,DevOps,5,2,3,15555,4,No,Hybrid,2,No,0
34,25–34,Male,Divorced,People & HR,HR Manager,3,4,3,12110,2,No,On-site,2,No,0
40,35–44,Female,Single,Engineering,Engineering Manager,2,2,3,2000,7,No,Hybrid,0,Yes,1
38,35–44,Female,Married,Product & Design,UX Designer,3,2,2,9477,2,No,Hybrid,2,No,0
29,25–34,Female,Married,Engineering,Senior Engineer,4,2,3,9237,5,No,Hybrid,0,No,0
41,35–44,Male,Single,People & HR,Recruiter,1,3,3,13228,1,No,Remote,1,No,0
30,25–34,Female,Divorced,People & HR,Recruiter,3,3,1,12337,1,Yes,Hybrid,1,Yes,1
28,25–34,Male,Single,Engineering,Senior Engineer,1,3,3,8272,3,No,Hybrid,2,No,0
32,25–34,Male,Married,Sales & Marketing,Sales Executive,3,2,2,11569,2,No,Remote,1,No,0
36,35–44,Male,Single,Engineering,DevOps,3,1,3,8571,0,No,Remote,0,Yes,1
26,25–34,Female,Married,Product & Design,Product Manager,2,3,2,8103,3,No,On-site,3,Yes,1
35,35–44,Male,Single,Engineering,DevOps,2,3,4,5815,0,No,On-site,0,Yes,1
27,25–34,Female,Single,Engineering,Engineering Manager,1,3,3,13973,1,Yes,Remote,0,No,0
26,25–34,Female,Married,Engineering,Engineering Manager,2,2,3,5246,3,No,Remote,1,No,0
31,25–34,Male,Married,Product & Design,Product Analyst,2,4,3,5737,3,No,Hybrid,3,No,0
22,Under 25,Female,Single,Engineering,Data Scientist,4,2,1,13806,8,No,On-site,1,No,0
22,Under 25,Male,Married,Engineering,DevOps,2,4,1,13099,0,No,Hybrid,3,Yes,1
22,Under 25,Female,Single,Engineering,Software Engineer,5,4,4,6403,5,No,Remote,1,No,0
22,Under 25,Female,Married,Finance & Legal,Legal Counsel,2,4,1,6421,0,Yes,Hybrid,0,Yes,1
39,35–44,Female,Single,Product & Design,Product Analyst,3,3,2,13429,4,No,On-site,1,No,0
36,35–44,Female,Single,Engineering,Engineering Manager,1,4,3,11602,3,No,Hybrid,1,No,0
34,25–34,Male,Single,Finance & Legal,Financial Analyst,1,1,4,17655,3,No,On-site,0,No,0
30,25–34,Male,Single,Product & Design,Product Analyst,5,2,3,16639,6,No,Remote,1,No,0
33,25–34,Male,Single,Engineering,Software Engineer,2,3,4,2000,0,No,Hybrid,1,Yes,1
34,25–34,Male,Married,Product & Design,Product Analyst,2,4,3,2549,1,Yes,Hybrid,3,Yes,1
25,25–34,Female,Single,Sales & Marketing,Sales Executive,3,3,3,2907,10,No,Hybrid,2,Yes,1
32,25–34,Male,Single,People & HR,HR Manager,2,4,3,14859,4,No,Hybrid,1,No,0
22,Under 25,Male,Married,People & HR,HR Specialist,4,3,3,20689,20,No,Hybrid,3,No,0
39,35–44,Female,Married,Engineering,Senior Engineer,1,4,2,2000,5,Yes,Hybrid,0,Yes,1
31,25–34,Female,Single,Finance & Legal,Financial Analyst,2,3,4,9502,0,No,Hybrid,1,No,0
28,25–34,Male,Single,Product & Design,Product Analyst,5,1,3,4474,4,No,Hybrid,2,No,0
26,25–34,Male,Single,Engineering,Software Engineer,2,3,2,14179,1,No,Hybrid,1,No,0
22,Under 25,Female,Married,Product & Design,UX Designer,4,2,2,4837,1,No,On-site,1,No,0
27,25–34,Female,Single,Engineering,Data Scientist,4,1,3,19312,10,No,Remote,0,No,0
35,35–44,Female,Married,Engineering,Engineering Manager,1,3,3,7333,0,Yes,Hybrid,2,No,0
33,25–34,Female,Married,Finance & Legal,Financial Analyst,4,3,3,13466,0,No,Remote,3,No,0
22,Under 25,Female,Married,Finance & Legal,Legal Counsel,1,1,4,8134,2,No,Remote,2,No,0
34,25–34,Female,Single,People & HR,Recruiter,3,2,4,2000,0,Yes,On-site,2,Yes,1
40,35–44,Female,Single,Product & Design,Product Manager,5,4,2,12704,5,No,Hybrid,1,No,0
36,35–44,Male,Divorced,Sales & Marketing,Account Manager,2,2,3,5283,1,No,Hybrid,0,Yes,1
40,35–44,Male,Married,People & HR,HR Manager,3,1,3,14995,0,No,Remote,0,No,0
36,35–44,Male,Single,Engineering,Software Engineer,1,4,4,2000,1,No,Remote,3,No,0
37,35–44,Male,Single,Product & Design,UX Designer,3,2,3,15176,7,No,On-site,1,No,0
22,Under 25,Male,Married,Sales & Marketing,Sales Executive,1,3,3,7328,1,No,Hybrid,1,No,0
26,25–34,Male,Married,Finance & Legal,Legal Counsel,1,1,3,6681,7,Yes,Hybrid,3,Yes,1
22,Under 25,Male,Married,Sales & Marketing,Sales Executive,3,2,2,6604,2,Yes,On-site,1,No,0
36,35–44,Male,Married,Sales & Marketing,Sales Executive,3,3,2,2000,1,Yes,Hybrid,0,No,0
33,25–34,Male,Married,Engineering,DevOps,2,1,1,10205,10,No,Remote,1,Yes,1
32,25–34,Female,Divorced,Engineering,Senior Engineer,2,4,4,17177,0,No,Remote,0,No,0
27,25–34,Female,Divorced,Engineering,Software Engineer,3,4,3,11730,0,No,Hybrid,1,No,0
33,25–34,Female,Married,Engineering,Senior Engineer,2,3,3,14872,0,No,Remote,0,No,0
24,Under 25,Non-binary,Married,Sales & Marketing,Account Manager,1,1,3,5283,0,No,Remote,1,No,0
27,25–34,Male,Single,Finance & Legal,Financial Analyst,5,3,3,10076,3,No,Hybrid,2,No,0
22,Under 25,Male,Married,Engineering,Senior Engineer,4,2,3,9592,0,No,Hybrid,3,No,0
29,25–34,Male,Married,Engineering,Software Engineer,2,2,3,10839,2,No,Hybrid,0,No,0
23,Under 25,Female,Married,Engineering,Software Engineer,1,1,3,18114,5,No,Hybrid,1,No,0
33,25–34,Male,Single,People & HR,HR Specialist,2,3,3,8135,3,Yes,Hybrid,3,Yes,1
39,35–44,Female,Single,Sales & Marketing,Sales Executive,2,3,3,6028,0,No,Hybrid,0,No,0
22,Under 25,Male,Single,People & HR,HR Specialist,2,4,2,16857,8,Yes,Hybrid,3,Yes,1
25,25–34,Male,Married,Finance & Legal,Finance Manager,1,2,3,15333,4,Yes,Remote,1,No,0
32,25–34,Female,Single,Engineering,Engineering Manager,4,3,3,12259,1,No,Hybrid,2,No,0
26,25–34,Male,Married,Product & Design,Product Analyst,3,3,4,9431,0,No,Hybrid,2,No,0
33,25–34,Female,Married,Product & Design,UX Designer,3,4,3,8534,0,No,On-site,1,Yes,1
31,25–34,Non-binary,Single,Product & Design,Product Analyst,2,3,3,11647,0,Yes,Hybrid,2,Yes,1
